Target,Method,Stat_Type,Stat_LB,Stat_Val,Stat_UB
B-raf,CDDD,R**2,0.5579960369808563,0.6369328203926897,0.7028091241873736
B-raf,CDDD,Kendal,0.5414735730473523,0.5965812950118763,0.6476346491468628
B-raf,DESC,Spearman,0.7764883913838146,0.8303135862215578,0.8683169585799938
B-raf,DESC,R**2,0.6266489555385619,0.7007216272073886,0.758178657699969
B-raf,DESC,Kendal,0.5978517202739834,0.6447769606318744,0.6911256648851722
B-raf,CDDD,Spearman,0.7318774759240833,0.7913570788766843,0.8396605132335332
B-raf,CDDD,R**2,0.5812441725806916,0.6618066545238788,0.7289462488366925
B-raf,CDDD,Kendal,0.5482939833782546,0.6035370742060321,0.6549140577156749
B-raf,DESC,Spearman,0.7348026885137083,0.798199019832386,0.8493236201453248
B-raf,DESC,R**2,0.5610651994012649,0.6580149517906576,0.7293670475606587
B-raf,DESC,Kendal,0.5572020476923581,0.6139098217739063,0.6640873794512246
B-raf,CDDD,Spearman,0.7283556498753613,0.7930765075899722,0.8413264189043809
B-raf,CDDD,R**2,0.5599578634025808,0.6457881961943898,0.716391386256821
B-raf,CDDD,Kendal,0.549928828562471,0.6073411856732819,0.65806687282313
B-raf,DESC,Spearman,0.7744245753114878,0.8270761209449239,0.871264654562184
B-raf,DESC,R**2,0.6218820989148321,0.6985539233627689,0.7599485042469021
B-raf,DESC,Kendal,0.5991361992563913,0.6457732474159867,0.697032832562267
B-raf,CDDD,Spearman,0.7401954276488615,0.7998594733400941,0.8499319600095605
B-raf,CDDD,R**2,0.6013842739368459,0.6754114017986481,0.7419574674491953
B-raf,CDDD,Kendal,0.5634143590235156,0.6163516769836382,0.6690814196745583
B-raf,DESC,Spearman,0.779675094940278,0.8263245112208346,0.8639005429441925
B-raf,DESC,R**2,0.6171286000381933,0.6925470592879328,0.7522541310909385
B-raf,DESC,Kendal,0.5855458696943471,0.6335681386125959,0.6781357225282436
B-raf,CDDD,Spearman,0.7434905526080613,0.7968015863077379,0.8350308891484363
B-raf,CDDD,R**2,0.5571539456569028,0.6326928731179365,0.6957989980405532
B-raf,CDDD,Kendal,0.5492492198434196,0.5968903100573837,0.6433152377792569
Ephrin,DESC,Spearman,0.6579895604587847,0.7271454200153827,0.7893559347669841
Ephrin,DESC,R**2,0.36874583048336507,0.48565887922645556,0.5797129188018759
Ephrin,DESC,Kendal,0.47833953387791023,0.5388539761136221,0.5944439749635463
Ephrin,CDDD,Spearman,0.651213468612514,0.724297325282145,0.7798154499525224
Ephrin,CDDD,R**2,0.38932947125632705,0.49339682310110045,0.588074457678766
Ephrin,CDDD,Kendal,0.475253537000949,0.530164892026444,0.5839784019505828
Ephrin,DESC,Spearman,0.6532771085890527,0.7275245103588968,0.7832253779386396
Ephrin,DESC,R**2,0.43040002869749006,0.5172298270506452,0.5855631470811664
Ephrin,DESC,Kendal,0.4779479803486956,0.5360783560996601,0.5863229686689941
Ephrin,CDDD,Spearman,0.6549227567420005,0.7152411161255977,0.7643660501904546
Ephrin,CDDD,R**2,0.4177692034163311,0.48777571993984836,0.551549386702911
Ephrin,CDDD,Kendal,0.4619466198085503,0.5115425886853979,0.5613940973801762
Ephrin,DESC,Spearman,0.6396919958417305,0.7172065042104359,0.7738708964187314
Ephrin,DESC,R**2,0.3893625870523578,0.48362770404060973,0.565241000264556
Ephrin,DESC,Kendal,0.4666431174729818,0.5255688330299403,0.5790114114943019
Ephrin,CDDD,Spearman,0.6315517604821214,0.7038208778775178,0.7655846353278913
Ephrin,CDDD,R**2,0.37934202580449566,0.4776811407173577,0.5622996945223319
Ephrin,CDDD,Kendal,0.450406241570621,0.5133442245547772,0.5659244733520731
Ephrin,DESC,Spearman,0.6740981010044635,0.7458630330773968,0.8010797356896266
Ephrin,DESC,R**2,0.4263959309607023,0.526400373043359,0.6063323072313368
Ephrin,DESC,Kendal,0.5028546608146994,0.5574281682467164,0.6144919453946199
